(1.4266, 0.1740, -0.4276)
(1.4368, 0.2154, -0.4766)
(0.9161, -0.6438, -0.6910)
(0.8332, -0.7272, -0.7069)
(0.8877, -0.6840, -0.6949)
(0.8390, -0.6428, -0.6838)
(1.4745, 0.1812, -0.4188)
(1.3651, 0.1673, -0.4620)
(1.4266, 0.1738, -0.4278)
(1.4369, 0.2153, -0.4767)
(0.9161, -0.6437, -0.6909)
(0.8332, -0.7271, -0.7068)
(0.8877, -0.6839, -0.6948)
(0.8391, -0.6427, -0.6837)
(1.4744, 0.1813, -0.4187)
(1.3651, 0.1675, -0.4620)
(1.4266, 0.1739, -0.4277)
(1.4368, 0.2154, -0.4766)
(0.9161, -0.6437, -0.6910)
(0.8332, -0.7272, -0.7068)
(0.8877, -0.6840, -0.6948)
(0.8390, -0.6428, -0.6838)
(1.4744, 0.1812, -0.4187)
(1.3651, 0.1674, -0.4620)
(1.4266, 0.1738, -0.4277)
(1.4368, 0.2153, -0.4767)
(0.9161, -0.6437, -0.6909)
(0.8332, -0.7272, -0.7068)
(0.8876, -0.6839, -0.6948)
(0.8390, -0.6428, -0.6837)
(1.4744, 0.1814, -0.4187)
(1.3651, 0.1676, -0.4620)
(1.4266, 0.1740, -0.4277)
(1.4368, 0.2155, -0.4766)
(0.9161, -0.6438, -0.6910)
(0.8332, -0.7272, -0.7069)
(0.8877, -0.6840, -0.6949)
(0.8391, -0.6428, -0.6838)
(1.4744, 0.1815, -0.4186)
(1.3650, 0.1676, -0.4619)
(1.4265, 0.1741, -0.4276)
(1.4368, 0.2156, -0.4765)
(0.9161, -0.6438, -0.6911)
(0.8332, -0.7272, -0.7070)
(0.8877, -0.6840, -0.6950)
(0.8391, -0.6428, -0.6839)
(1.4744, 0.1817, -0.4186)
(1.3650, 0.1678, -0.4619)
(1.4265, 0.1743, -0.4276)
(1.4367, 0.2158, -0.4765)
(0.9162, -0.6438, -0.6912)
(0.8333, -0.7273, -0.7071)
(0.8877, -0.6840, -0.6951)
(0.8391, -0.6429, -0.6840)
(1.4743, 0.1817, -0.4185)
(1.3650, 0.1677, -0.4618)
(1.4265, 0.1742, -0.4275)
(1.4367, 0.2157, -0.4764)
(0.9161, -0.6439, -0.6911)
(0.8332, -0.7273, -0.7070)
(0.8876, -0.6841, -0.6950)
(0.8390, -0.6429, -0.6839)
(1.4743, 0.1820, -0.4184)
(1.3649, 0.1681, -0.4617)
(1.4264, 0.1746, -0.4274)
(1.4366, 0.2161, -0.4764)
(0.9162, -0.6439, -0.6913)
(0.8332, -0.7273, -0.7072)
(0.8877, -0.6841, -0.6952)
(0.8391, -0.6429, -0.6841)
(1.4743, 0.1819, -0.4184)
(1.3650, 0.1679, -0.4618)
(1.4265, 0.1744, -0.4275)
(1.4366, 0.2159, -0.4764)
(0.9161, -0.6439, -0.6913)
(0.8332, -0.7273, -0.7072)
(0.8877, -0.6841, -0.6951)
(0.8391, -0.6429, -0.6840)
(1.4741, 0.1822, -0.4182)
(1.3648, 0.1683, -0.4616)
(1.4263, 0.1748, -0.4273)
(1.4365, 0.2163, -0.4762)
(0.9161, -0.6440, -0.6914)
(0.8332, -0.7274, -0.7073)
(0.8877, -0.6842, -0.6953)
(0.8390, -0.6430, -0.6842)
(0.0641, 2.6498, -0.0839)
(0.0615, 2.6980, -0.1924)
(0.0603, 2.6621, -0.1317)
(0.0486, 2.7215, -0.1091)
(0.6126, -0.4232, 0.4490)
(0.5733, -0.5343, 0.4628)
(0.6043, -0.4717, 0.4529)
(0.5583, -0.4540, 0.4948)
(1358983.0000, -795115.9000, -721773.1000)
(1358983.0000, -795115.9000, -721773.1000)
(1358983.0000, -795115.9000, -721773.1000)
(1358983.0000, -795115.9000, -721773.1000)
(-0.0006, -0.1722, -1.3593)
(0.0206, -0.2811, -1.3171)
(0.0163, -0.2149, -1.3410)
(-0.0436, -0.2214, -1.3176)
(1367782.0000, -800387.6000, -698964.3000)
(1367782.0000, -800387.6000, -698964.3000)
(1367782.0000, -800387.6000, -698964.3000)
(1367782.0000, -800387.6000, -698964.3000)
(-0.0022, -0.1739, -1.3536)
(0.0184, -0.2832, -1.3123)
(0.0145, -0.2167, -1.3355)
(-0.0457, -0.2234, -1.3130)
(1358090.0000, -794496.9000, -724131.5000)
(1358090.0000, -794496.9000, -724131.5000)
(1358090.0000, -794496.9000, -724131.5000)
(1358090.0000, -794496.9000, -724131.5000)
(-0.0005, -0.1722, -1.3599)
(0.0208, -0.2810, -1.3176)
(0.0165, -0.2148, -1.3416)
(-0.0434, -0.2212, -1.3182)
(1358014.0000, -795595.3000, -723066.8000)
(1358014.0000, -795595.3000, -723066.8000)
(1358014.0000, -795595.3000, -723066.8000)
(1358014.0000, -795595.3000, -723066.8000)
(-0.0006, -0.1720, -1.3594)
(0.0206, -0.2809, -1.3172)
(0.0164, -0.2147, -1.3411)
(-0.0436, -0.2211, -1.3178)
(3.0183, 0.4183, -1.3903)
(2.9705, 0.4221, -1.4990)
(2.9923, 0.4169, -1.4317)
(3.0308, 0.4646, -1.4512)
(0.2501, -0.3945, -1.1483)
(0.2036, -0.5036, -1.1430)
(0.2386, -0.4423, -1.1437)
(0.1794, -0.4203, -1.1301)
(1.6350, 1.6547, -0.5009)
(1.7216, 1.6965, -0.5702)
(1.6685, 1.6659, -0.5354)
(1.6622, 1.7261, -0.5125)
(0.1471, -0.5016, -0.5474)
(0.0675, -0.5878, -0.5655)
(0.1208, -0.5427, -0.5551)
(0.0741, -0.5111, -0.5234)
(1075059.0000, -992470.8000, -926955.7000)
(1075059.0000, -992470.8000, -926955.7000)
(1075059.0000, -992470.8000, -926955.7000)
(1075059.0000, -992470.8000, -926955.7000)
(0.7504, 0.3054, -1.0415)
(0.7934, 0.2121, -0.9820)
(0.7755, 0.2713, -1.0160)
(0.7170, 0.2533, -0.9949)
(2.2939, 1.2103, -0.9475)
(2.1826, 1.2185, -0.9891)
(2.2491, 1.2061, -0.9689)
(2.2306, 1.2452, -0.9203)
(0.4599, 0.0456, -0.9160)
(0.4842, -0.0600, -0.8676)
(0.4773, 0.0021, -0.9004)
(0.4430, 0.0147, -0.8471)
